LA,LB,radius,material_B,theta0_deg,release_speed,release_time,note
0.22,0.28,0.009,Aluminum 6061,,,,Release event not detected within simulation time
0.22,0.28,0.009,Unidirectional Carbon Fiber,,,,Release event not detected within simulation time
0.22,0.28,0.009,AISI 1080 Steel,-0.007261628558628574,2.550811864987045,0.45650266890570396,
0.22,0.28,0.011,Aluminum 6061,-0.005656373142449425,1.456286934631953,0.5919854748680922,
0.22,0.28,0.011,Unidirectional Carbon Fiber,,,,Release event not detected within simulation time
0.22,0.28,0.011,AISI 1080 Steel,-0.004577224247805915,2.8854398812649182,0.42239409954793294,
0.22,0.28,0.013,Aluminum 6061,-0.0037110066194573433,2.1313395989598964,0.5039812498925736,
0.22,0.28,0.013,Unidirectional Carbon Fiber,-0.001405992587683556,0.754196182824477,0.6948745591921679,
0.22,0.28,0.013,AISI 1080 Steel,-0.0031602904441478995,3.08960520372488,0.4045618932428689,
0.24,0.26,0.009,Aluminum 6061,,,,Release event not detected within simulation time
0.24,0.26,0.009,Unidirectional Carbon Fiber,,,,Release event not detected within simulation time
0.24,0.26,0.009,AISI 1080 Steel,-0.005893068967907495,2.473424865309461,0.4650001499385041,
0.24,0.26,0.011,Aluminum 6061,-0.004631426556199506,1.3149661280440168,0.6130596904554074,
0.24,0.26,0.011,Unidirectional Carbon Fiber,,,,Release event not detected within simulation time
0.24,0.26,0.011,AISI 1080 Steel,-0.0037001850075537314,2.8336267781638877,0.42880405112522824,
0.24,0.26,0.013,Aluminum 6061,-0.0030238437221485667,2.0345360308138716,0.5159356098704847,
0.24,0.26,0.013,Unidirectional Carbon Fiber,-0.0011547538030924707,0.45185073391983455,0.7431336043962828,
0.24,0.26,0.013,AISI 1080 Steel,-0.0025484538271148866,3.048312176313814,0.40998207592301356,
0.26,0.24,0.009,Aluminum 6061,,,,Release event not detected within simulation time
0.26,0.24,0.009,Unidirectional Carbon Fiber,,,,Release event not detected within simulation time
0.26,0.24,0.009,AISI 1080 Steel,-0.004707552348791977,2.399027770841153,0.4747786886445586,
0.26,0.24,0.011,Aluminum 6061,-0.003736905841301839,1.1559785665840636,0.639954632332001,
0.26,0.24,0.011,Unidirectional Carbon Fiber,,,,Release event not detected within simulation time
0.26,0.24,0.011,AISI 1080 Steel,-0.0029427821475389846,2.7741109316913986,0.43599017546330326,
0.26,0.24,0.013,Aluminum 6061,-0.002426605239375695,1.940151810812511,0.5301152674017611,
0.26,0.24,0.013,Unidirectional Carbon Fiber,,,,Release event not detected within simulation time
0.26,0.24,0.013,AISI 1080 Steel,-0.002021081191683816,2.994738806984862,0.41595882426726655,
0.27999999999999997,0.22000000000000003,0.009,Aluminum 6061,,,,Release event not detected within simulation time
0.27999999999999997,0.22000000000000003,0.009,Unidirectional Carbon Fiber,-0.002212802207278607,2.7007629720159354,1.2798069724795127,
0.27999999999999997,0.22000000000000003,0.009,AISI 1080 Steel,-0.0036920053373577667,2.3222912419548063,0.48617889445903534,
0.27999999999999997,0.22000000000000003,0.011,Aluminum 6061,-0.0029640861328050255,0.9358972703653722,0.6762538343758789,
0.27999999999999997,0.22000000000000003,0.011,Unidirectional Carbon Fiber,,,,Release event not detected within simulation time
0.27999999999999997,0.22000000000000003,0.011,AISI 1080 Steel,-0.0022962639590361203,2.7080534560266223,0.4441237853912509,
0.27999999999999997,0.22000000000000003,0.013,Aluminum 6061,-0.0019130443816296194,1.822169565973332,0.5472577229079671,
0.27999999999999997,0.22000000000000003,0.013,Unidirectional Carbon Fiber,,,,Release event not detected within simulation time
0.27999999999999997,0.22000000000000003,0.013,AISI 1080 Steel,-0.0015719066034042277,2.9350934449183943,0.42259145998181896,
0.3,0.2,0.009,Aluminum 6061,,,,Release event not detected within simulation time
0.3,0.2,0.009,Unidirectional Carbon Fiber,-0.0017577052007308853,2.7838889866475167,1.0754821362133882,
0.3,0.2,0.009,AISI 1080 Steel,-0.002833354640386175,2.214334915456004,0.49972178173993825,
0.3,0.2,0.011,Aluminum 6061,-0.002304242381525271,0.6061026452609516,0.7320769631154749,
0.3,0.2,0.011,Unidirectional Carbon Fiber,,,,Release event not detected within simulation time
0.3,0.2,0.011,AISI 1080 Steel,-0.0017518789050031192,2.637116381129585,0.45346479392462613,
0.3,0.2,0.013,Aluminum 6061,-0.0014769143020354988,1.6884715537738908,0.5685449385658015,
0.3,0.2,0.013,Unidirectional Carbon Fiber,,,,Release event not detected within simulation time
0.3,0.2,0.013,AISI 1080 Steel,-0.0011946641277974673,2.874160477784051,0.43004093705962004,
